"APC" "KRAS" "TP53" "PIK3CA" "Exist"
"1" 0.0547337278106508 0 0.029585798816568 0.051775147928994 1
"2" 0.0259146341463415 0.024390243902439 0 0.0548780487804879 1
"3" 0 0 0 0 0
"4" 0.0232558139534884 0.0174418604651163 0 0 1
"5" 0.05420054200542 0 0.0067750677506775 0.0257452574525746 1
"6" 0 0 0 0 0
"7" 0 0 0 0 0
"8" 0 0 0 0 0
"9" 0 0 0 0 0
"10" 0 0 0 0 0
"11" 0.0280898876404495 0 0.0149812734082397 0.0149812734082397 1
"12" 0 0 0 0 0
"13" 0.179900744416873 0.0285359801488834 0.00124069478908189 0.0260545905707196 1
"14" 0 0 0 0 1
"15" 0.13915857605178 0 0.017799352750809 0.0129449838187702 1
"16" 0.0505689001264223 0 0.027180783817952 0.0322376738305942 1
"17" 0.0432357043235704 0.000697350069735007 0.00139470013947001 0.0132496513249651 1
"18" 0 0 0 0 0
"19" 0 0 0 0 0
"20" 0.147900763358779 0.00381679389312978 0 0.0181297709923664 1
"21" 0 0 0 0 0
"22" 0 0 0 0 0
"23" 0.0965732087227415 0.0654205607476635 0.0233644859813084 0.0763239875389408 1
"24" 0 0 0 0 0
"25" 0 0 0 0 0
"26" 0.0688949522510232 0.0034106412005457 0.00477489768076398 0.0252387448840382 1
"27" 0 0 0 0 0
"28" 0 0 0 0 0
"29" 0.08994708994709 0 0.000881834215167548 0.0211640211640212 1
"30" 0.0833333333333333 0 0 0 1
"31" 0 0 0 0 0
"32" 0.0648395721925134 0.000668449197860963 0.00334224598930481 0.0227272727272727 1
"33" 0.1328125 0.021875 0.0140625 0.0171875 1
"34" 0 0 0 0 0
"35" 0.0461801596351197 0 0.00627137970353478 0.0131128848346636 1
"36" 0 0 0 0 0
"37" 0 0 0 0 0
"38" 0 0 0 0 1
"39" 0.139118457300275 0.0110192837465565 0.40220385674931 0.00826446280991736 1
"40" 0 0 0 0 0
"41" 0.0810810810810811 0 0 0 1
"42" 0.025 0.025 0 0 1
"43" 0 0 0 0 0
"44" 0.122734761120264 0.0313014827018122 0.000823723228995058 0.0667215815485996 1
"45" 0.238175675675676 0 0.0304054054054054 0.0557432432432432 1
"46" 0.037966537966538 0.00128700128700129 0.00643500643500643 0.0128700128700129 1
"47" 0 0 0 0 0
"48" 0 0 0 0 0
"49" 0 0 0 0 0
"50" 0 0 0 0 0
"51" 0.237179487179487 0 0.0128205128205128 0.0592948717948717 1
"52" 0 0 0 0 0
"53" 0.128358208955224 0.0358208955223881 0.0791044776119403 0.0626865671641791 1
"54" 0.0686813186813188 0.0274725274725275 0.0137362637362637 0.00961538461538461 1
"55" 0 0 0 0 0
"56" 0.0557851239669422 0.00137741046831956 0.00482093663911846 0.0144628099173554 1
"57" 0.044314381270903 0.00668896321070235 0.00418060200668897 0.0367892976588629 1
"58" 0.0711974110032362 0.0194174757281553 0.00161812297734628 0.0226537216828479 1
"59" 0 0 0 0 0
"60" 0 0 0 0 0
"61" 0 0 0 0 0
"62" 0.0611205432937182 0 0.000848896434634975 0.0271646859083191 1
"63" 0 0 0 0 0
"64" 0.0778546712802768 0.00173010380622837 0 0.00865051903114187 1
"65" 0 0 0 0 0
"66" 0 0 0 0 0
"67" 0.5 0 0 0 1
"68" 0 0 0 0 0
"69" 0.0522727272727273 0 0.00284090909090909 0.00397727272727273 1
"70" 0.027027027027027 0 0 0.0202702702702703 1
"71" 0 0 0 0 0
"72" 0.0989761092150171 0 0.0068259385665529 0.0119453924914676 1
"73" 0.039344262295082 0.00163934426229508 0 0.019672131147541 1
"74" 0.0936395759717314 0.00706713780918728 0.0141342756183745 0.0424028268551237 1
"75" 0 0 0 0 0
"76" 0.0478036175710594 0.00516795865633075 0 0.0419896640826873 1
"77" 0.0749336870026525 0.0026525198938992 0.00729442970822281 0.0251989389920424 1
"78" 0.0309548793284365 0.00104931794333683 0.0146904512067156 0.0099685204616999 1
"79" 0 0 0 0.5 1
"80" 0.0446175637393767 0.00779036827195467 0.0028328611898017 0.0361189801699717 1
"81" 0.150568181818182 0 0.00568181818181818 0.0369318181818181 1
"82" 0 0 0 0 0
"83" 0 0 0 0 1
"84" 0 0 0 0 0
"85" 0.0391891891891892 0.00810810810810811 0 0.0162162162162162 1
"86" 0 0 0 0 0
"87" 0.124193548387097 0.000806451612903226 0.00967741935483871 0.064516129032258 1
"88" 0.0482625482625483 0.0106177606177606 0.00675675675675676 0.0646718146718146 1
"89" 0.048172757475083 0.00221483942414174 0.000553709856035437 0.00830564784053155 1
"90" 0.53125 0.125 0 0 1
"91" 0.146551724137931 0 0 0.00172413793103448 1
"92" 0.122324159021407 0.00305810397553517 0.0259938837920489 0.0428134556574924 1
"93" 0 0 0 0 0
"94" 0.143115942028986 0.0172101449275363 0.0172101449275362 0.0606884057971014 1
"95" 0.108288770053476 0.00133689839572193 0.0193850267379679 0.0120320855614973 1
"96" 0 0 0 0 0
"97" 0.025527192008879 0.00110987791342952 0.00554938956714761 0.0149833518312986 1
"98" 0 0 0 0 0
"99" 0 0 0 0 0
"100" 0 0 0 0.0104166666666667 1
"101" 0 0 0 0 0
"102" 0 0 0 0 0
"103" 0.110154905335628 0 0.00430292598967298 0.0740103270223752 1
"104" 0 0 0 0 0
"105" 0 0 0 0 0
"106" 0 0 0 0 0
"107" 0 0 0 0 0
"108" 0.0194013303769401 0.000554323725055432 0 0.0105321507760532 1
"109" 0.153153153153153 0.0306306306306306 0.0135135135135135 0.0567567567567567 1
"110" 0.0312862108922364 0 0.00289687137891078 0.0225955967555041 1
"111" 0.0266159695817491 0 0.00190114068441065 0.0703422053231939 1
"112" 0 0 0 0 0
"113" 0 0 0 0 0
"114" 0 0 0 0 0
"115" 0 0 0 0 0
"116" 0.0969202898550725 0.00181159420289855 0.000905797101449275 0.0353260869565217 1
"117" 0.095872170439414 0.0033288948069241 0.00199733688415446 0.0399467376830892 1
"118" 0 0 0 0 0
"119" 0 0 0 0 0
"120" 0 0 0 0 0
"121" 0.0712025316455697 0 0.00632911392405064 0.0300632911392405 1
"122" 0 0 0 0 0
"123" 0 0 0 0 0
"124" 0.127551020408163 0 0.0136054421768707 0.0918367346938775 1
"125" 0 0 0 0 0
"126" 0.103960396039604 0 0.0099009900990099 0.0099009900990099 1
"127" 0.116379310344828 0.00775862068965517 0.0103448275862069 0.0327586206896551 1
"128" 0.156405990016639 0.0366056572379368 0.0191347753743761 0.0640599001663894 1
"129" 0.0948434622467772 0.0110497237569061 0 0.0257826887661142 1
"130" 0.140381282495667 0.00173310225303293 0.0225303292894281 0.08578856152513 1
"131" 0.0305851063829787 0.00598404255319149 0.00664893617021277 0.0132978723404255 1
"132" 0 0 0 0 0
"133" 0.188888888888889 0 0.0222222222222222 0 1
"134" 0.508895705521473 0.000460122699386502 0.00153374233128834 0.486349693251534 1
"135" 0.8 0 0 0 1
"136" 0.039587852494577 0 0.0027114967462039 0.0178958785249458 1
"137" 0.110108303249097 0.0324909747292419 0 0.0451263537906137 1
"138" 0.314984709480122 0.0336391437308868 0.0290519877675841 0.0611620795107034 1
"139" 0 0 0 0 0
"140" 0.0173076923076923 0 0.00192307692307692 0.025 1
"141" 0.167711598746082 0 0 0.0344827586206896 1
"142" 0.0416666666666667 0 0 0.388888888888889 1
"143" 0.0699658703071672 0.00255972696245734 0.00682593856655291 0.06740614334471 1
"144" 0 0 0 0 0
"145" 0.0322209436133487 0.00747986191024165 0.000575373993095512 0.0115074798619102 1
